S.NO,SECTION,DV,m2,PP,BEEE,FL,FIMS,TOTAL,Total,Percentage,Grade
475.0,OMEGA,20.0,18.0,20.0,19.0,20.0,18.0,1716.6666666666667,115.0,95.83333333333334,A
476.0,OMEGA,20.0,19.0,20.0,19.0,20.0,19.0,1732.0,117.0,97.5,A
477.0,OMEGA,20.0,11.0,18.0,14.0,20.0,15.0,1607.3333333333333,98.0,81.66666666666667,B
478.0,OMEGA,20.0,20.0,20.0,20.0,20.0,16.0,1729.3333333333337,116.0,96.66666666666669,A
479.0,OMEGA,5.0,2.0,11.0,0.0,10.0,0.0,1014.0,0.0,0.0,F
480.0,OMEGA,20.0,8.0,19.0,14.0,20.0,13.0,1586.6666666666667,94.0,78.33333333333333,C
481.0,OMEGA,20.0,15.0,18.0,16.0,20.0,19.0,1682.0,108.0,90.0,A
482.0,OMEGA,20.0,12.0,13.0,17.0,20.0,14.0,1604.0,96.0,80.0,B
483.0,OMEGA,15.0,7.0,14.0,16.0,16.0,16.0,1526.0,84.0,70.0,C
484.0,OMEGA,20.0,11.0,20.0,13.0,15.0,16.0,1601.3333333333333,95.0,79.16666666666666,C
485.0,OMEGA,6.0,3.0,7.0,11.0,11.0,14.0,1316.6666666666667,52.0,43.333333333333336,F
486.0,OMEGA,17.0,1.0,11.0,17.0,20.0,19.0,1538.6666666666667,85.0,70.83333333333334,C
487.0,OMEGA,15.0,7.0,18.0,15.0,16.0,15.0,1547.3333333333333,86.0,71.66666666666667,C
488.0,OMEGA,1.0,5.0,0.0,0.0,0.0,0.0,988.0,0.0,0.0,F
489.0,OMEGA,20.0,9.0,19.0,17.0,20.0,18.0,1664.6666666666667,103.0,85.83333333333333,B
490.0,OMEGA,19.0,7.0,16.0,16.0,20.0,18.0,1620.0,96.0,80.0,B
491.0,OMEGA,15.0,7.0,10.0,9.0,9.0,19.0,1442.0,69.0,57.49999999999999,F
492.0,OMEGA,12.0,3.0,2.0,8.0,7.0,12.0,1277.3333333333333,44.0,36.66666666666666,F
493.0,OMEGA,20.0,4.0,16.0,19.0,20.0,16.0,1619.3333333333333,95.0,79.16666666666666,C
494.0,OMEGA,17.0,3.0,18.0,8.0,13.0,14.0,1474.6666666666667,73.0,60.83333333333333,D
495.0,OMEGA,18.0,18.0,19.0,18.0,8.0,18.0,1650.0,99.0,82.5,B
496.0,OMEGA,0.0,0.0,0.0,0.0,0.0,0.0,992.0,0.0,0.0,F
497.0,OMEGA,19.0,12.0,12.0,12.0,11.0,15.0,1534.0,81.0,67.5,D
498.0,OMEGA,19.0,7.0,19.0,18.0,18.0,17.0,1649.3333333333333,98.0,81.66666666666667,B
499.0,OMEGA,20.0,8.0,19.0,5.0,16.0,19.0,1578.0,87.0,72.5,C
500.0,OMEGA,12.0,4.0,19.0,17.0,14.0,15.0,1540.0,81.0,67.5,D
501.0,OMEGA,17.0,3.0,14.0,11.0,19.0,17.0,1542.0,81.0,67.5,D
502.0,OMEGA,20.0,9.0,20.0,18.0,20.0,20.0,1717.3333333333333,107.0,89.16666666666667,B
503.0,OMEGA,20.0,7.0,17.0,17.0,20.0,18.0,1666.0,99.0,82.5,B
504.0,OMEGA,1.0,1.0,2.0,0.0,10.0,0.0,1036.0,0.0,0.0,F
505.0,OMEGA,15.0,14.0,11.0,16.0,13.0,15.0,1570.0,84.0,70.0,C
506.0,OMEGA,20.0,20.0,20.0,20.0,20.0,20.0,1812.0,120.0,100.0,A
507.0,OMEGA,20.0,18.0,20.0,20.0,20.0,19.0,1794.0,117.0,97.5,A
508.0,OMEGA,20.0,20.0,20.0,20.0,20.0,20.0,1816.0,120.0,100.0,A
509.0,OMEGA,11.0,4.0,2.0,2.0,8.0,10.0,1264.6666666666667,37.0,30.833333333333336,F
510.0,OMEGA,18.0,2.0,12.0,3.0,17.0,15.0,1466.6666666666667,67.0,55.833333333333336,F
511.0,OMEGA,20.0,6.0,16.0,11.0,20.0,14.0,1602.0,87.0,72.5,C
512.0,OMEGA,20.0,6.0,18.0,13.0,20.0,18.0,1657.3333333333333,95.0,79.16666666666666,C
513.0,OMEGA,20.0,20.0,5.0,19.0,18.0,14.0,1666.0,96.0,80.0,B
514.0,OMEGA,20.0,16.0,18.0,19.0,20.0,19.0,1774.6666666666663,112.0,93.33333333333331,A
515.0,OMEGA,0.0,0.0,12.0,16.0,20.0,18.0,1162.0,0.0,0.0,F
516.0,OMEGA,20.0,15.0,20.0,20.0,20.0,15.0,1765.3333333333333,110.0,91.66666666666666,A
517.0,OMEGA,12.0,1.0,7.0,5.0,8.0,12.0,1334.0,45.0,37.5,F
518.0,OMEGA,12.0,0.0,7.0,8.0,12.0,10.0,1362.6666666666667,49.0,40.833333333333336,F
519.0,OMEGA,20.0,1.0,20.0,6.0,14.0,15.0,1544.6666666666667,76.0,63.33333333333333,D
520.0,OMEGA,20.0,17.0,20.0,20.0,20.0,17.0,1800.0,114.0,95.0,A
521.0,OMEGA,14.0,1.0,6.0,0.0,0.0,0.0,1084.0,0.0,0.0,F
522.0,OMEGA,20.0,19.0,20.0,19.0,20.0,20.0,1830.6666666666663,118.0,98.33333333333331,A
523.0,OMEGA,20.0,14.0,19.0,19.0,20.0,18.0,1779.3333333333333,110.0,91.66666666666666,A
524.0,OMEGA,20.0,18.0,20.0,19.0,20.0,16.0,1801.3333333333337,113.0,94.16666666666669,A
525.0,OMEGA,9.0,1.0,6.0,6.0,10.0,13.0,1350.0,45.0,37.5,F
526.0,OMEGA,11.0,0.0,5.0,11.0,17.0,16.0,1452.0,60.0,50.0,F
527.0,OMEGA,20.0,6.0,20.0,18.0,17.0,18.0,1714.0,99.0,82.5,B
528.0,OMEGA,16.0,4.0,19.0,15.0,15.0,18.0,1636.0,87.0,72.5,C
529.0,OMEGA,19.0,7.0,20.0,11.0,13.0,18.0,1644.6666666666667,88.0,73.33333333333333,C
530.0,OMEGA,19.0,2.0,20.0,13.0,20.0,19.0,1680.0,93.0,77.5,C
531.0,OMEGA,17.0,4.0,15.0,10.0,17.0,13.0,1568.6666666666667,76.0,63.33333333333333,D
532.0,OMEGA,20.0,6.0,14.0,19.0,20.0,15.0,1690.6666666666667,94.0,78.33333333333333,C
533.0,OMEGA,20.0,12.0,20.0,19.0,20.0,17.0,1786.0,108.0,90.0,A
534.0,OMEGA,20.0,19.0,20.0,20.0,20.0,20.0,1861.3333333333333,119.0,99.16666666666669,A
535.0,OMEGA,20.0,12.0,9.0,18.0,20.0,19.0,1723.3333333333333,98.0,81.66666666666667,B
536.0,OMEGA,17.0,2.0,11.0,13.0,20.0,14.0,1585.3333333333333,77.0,64.16666666666667,D
537.0,OMEGA,15.0,4.0,12.0,17.0,18.0,16.0,1620.6666666666667,82.0,68.33333333333333,D
538.0,OMEGA,20.0,11.0,17.0,18.0,20.0,14.0,1742.6666666666667,100.0,83.33333333333334,B
539.0,SIGMA,19.0,12.0,15.0,18.0,19.0,20.0,1764.6666666666667,103.0,85.83333333333333,B
540.0,SIGMA,20.0,18.0,20.0,18.0,20.0,19.0,1846.6666666666667,115.0,95.83333333333334,A
541.0,SIGMA,19.0,14.0,20.0,17.0,18.0,16.0,1775.3333333333333,104.0,86.66666666666667,B
542.0,SIGMA,12.0,8.0,14.0,14.0,13.0,18.0,1610.6666666666667,79.0,65.83333333333333,D
543.0,SIGMA,20.0,11.0,20.0,17.0,18.0,17.0,1772.6666666666667,103.0,85.83333333333333,B
544.0,SIGMA,10.0,0.0,5.0,9.0,10.0,9.0,1374.6666666666667,43.0,35.833333333333336,F
545.0,SIGMA,14.0,8.0,18.0,7.0,15.0,20.0,1636.6666666666667,82.0,68.33333333333333,D
546.0,SIGMA,17.0,5.0,15.0,9.0,18.0,19.0,1645.3333333333333,83.0,69.16666666666667,D
547.0,SIGMA,14.0,11.0,5.0,2.0,13.0,0.0,1184.0,0.0,0.0,F
548.0,SIGMA,20.0,20.0,17.0,18.0,19.0,19.0,1849.3333333333333,113.0,94.16666666666669,A
549.0,SIGMA,19.0,11.0,14.0,17.0,15.0,16.0,1711.3333333333333,92.0,76.66666666666667,C
550.0,SIGMA,4.0,3.0,2.0,6.0,10.0,8.0,1320.0,33.0,27.500000000000004,F
551.0,SIGMA,17.0,9.0,17.0,11.0,13.0,17.0,1662.0,84.0,70.0,C
552.0,SIGMA,0.0,0.0,0.0,0.0,0.0,0.0,1104.0,0.0,0.0,F
553.0,SIGMA,20.0,19.0,20.0,20.0,13.0,18.0,1839.3333333333333,110.0,91.66666666666666,A
554.0,SIGMA,17.0,18.0,4.0,11.0,13.0,5.0,1561.3333333333333,68.0,56.66666666666666,F
555.0,SIGMA,20.0,17.0,20.0,17.0,15.0,20.0,1836.6666666666663,109.0,90.83333333333331,A
556.0,SIGMA,16.0,20.0,19.0,20.0,18.0,17.0,1845.3333333333333,110.0,91.66666666666666,A
557.0,SIGMA,0.0,0.0,0.0,0.0,0.0,0.0,1114.0,0.0,0.0,F
558.0,SIGMA,20.0,17.0,20.0,20.0,18.0,17.0,1862.6666666666663,112.0,93.33333333333331,A
559.0,SIGMA,12.0,10.0,11.0,3.0,10.0,12.0,1504.6666666666667,58.0,48.333333333333336,F
560.0,SIGMA,13.0,9.0,14.0,12.0,15.0,19.0,1666.6666666666667,82.0,68.33333333333333,D
561.0,SIGMA,18.0,13.0,11.0,11.0,10.0,11.0,1615.3333333333333,74.0,61.66666666666667,D
562.0,SIGMA,17.0,15.0,20.0,18.0,15.0,19.0,1817.3333333333333,104.0,86.66666666666667,B
563.0,SIGMA,7.0,0.0,0.0,5.0,15.0,16.0,1212.0,0.0,0.0,F
564.0,SIGMA,5.0,0.0,5.0,4.0,10.0,10.0,1354.6666666666667,34.0,28.33333333333333,F
565.0,SIGMA,0.0,0.0,0.0,0.0,0.0,0.0,1130.0,0.0,0.0,F
566.0,SIGMA,18.0,13.0,18.0,15.0,20.0,19.0,1818.6666666666667,103.0,85.83333333333333,B
567.0,SIGMA,11.0,17.0,19.0,12.0,20.0,14.0,1754.0,93.0,77.5,C
568.0,SIGMA,20.0,19.0,19.0,16.0,19.0,19.0,1882.6666666666663,112.0,93.33333333333331,A
569.0,SIGMA,17.0,13.0,18.0,18.0,20.0,19.0,1838.0,105.0,87.5,B
570.0,SIGMA,19.0,14.0,15.0,17.0,20.0,15.0,1806.6666666666667,100.0,83.33333333333334,B
571.0,SIGMA,14.0,9.0,13.0,16.0,18.0,16.0,1715.3333333333333,86.0,71.66666666666667,C
572.0,SIGMA,11.0,3.0,8.0,4.0,10.0,15.0,1484.0,51.0,42.5,F
573.0,SIGMA,14.0,1.0,14.0,10.0,20.0,17.0,1652.6666666666667,76.0,63.33333333333333,D
574.0,SIGMA,16.0,19.0,15.0,19.0,18.0,14.0,1821.3333333333333,101.0,84.16666666666667,B
575.0,SIGMA,20.0,20.0,20.0,20.0,20.0,20.0,1950.0,120.0,100.0,A
576.0,SIGMA,20.0,20.0,20.0,17.0,20.0,16.0,1905.3333333333333,113.0,94.16666666666669,A
577.0,SIGMA,16.0,14.0,19.0,15.0,18.0,18.0,1820.6666666666667,100.0,83.33333333333334,B
578.0,SIGMA,20.0,20.0,17.0,16.0,20.0,20.0,1909.3333333333333,113.0,94.16666666666669,A
579.0,SIGMA,16.0,11.0,13.0,8.0,20.0,11.0,1684.6666666666667,79.0,65.83333333333333,D
580.0,SIGMA,14.0,4.0,11.0,10.0,13.0,0.0,1264.0,0.0,0.0,F
581.0,SIGMA,12.0,2.0,9.0,13.0,20.0,17.0,1648.6666666666667,73.0,60.83333333333333,D
582.0,SIGMA,15.0,5.0,14.0,4.0,13.0,16.0,1610.6666666666667,67.0,55.833333333333336,F
583.0,SIGMA,20.0,16.0,15.0,18.0,15.0,18.0,1846.0,102.0,85.0,B
584.0,SIGMA,19.0,20.0,18.0,17.0,20.0,15.0,1894.6666666666663,109.0,90.83333333333331,A
585.0,SIGMA,18.0,15.0,14.0,13.0,19.0,14.0,1790.0,93.0,77.5,C
586.0,SIGMA,19.0,7.0,11.0,12.0,15.0,13.0,1685.3333333333333,77.0,64.16666666666667,D
587.0,SIGMA,20.0,17.0,20.0,15.0,18.0,18.0,1894.0,108.0,90.0,A
588.0,SIGMA,19.0,19.0,12.0,8.0,13.0,19.0,1776.0,90.0,75.0,C
589.0,SIGMA,20.0,20.0,20.0,20.0,20.0,18.0,1964.6666666666663,118.0,98.33333333333331,A
590.0,SIGMA,20.0,17.0,20.0,18.0,20.0,18.0,1933.3333333333333,113.0,94.16666666666669,A
591.0,SIGMA,20.0,15.0,17.0,13.0,20.0,17.0,1862.0,102.0,85.0,B
592.0,SIGMA,17.0,20.0,16.0,16.0,20.0,19.0,1904.0,108.0,90.0,A
593.0,SIGMA,20.0,18.0,19.0,14.0,19.0,16.0,1892.6666666666667,106.0,88.33333333333333,B
594.0,SIGMA,15.0,6.0,9.0,3.0,18.0,15.0,1628.0,66.0,55.00000000000001,F
595.0,SIGMA,20.0,17.0,18.0,20.0,19.0,20.0,1950.0,114.0,95.0,A
596.0,SIGMA,17.0,14.0,16.0,18.0,20.0,18.0,1878.6666666666667,103.0,85.83333333333333,B
597.0,SIGMA,20.0,20.0,20.0,20.0,20.0,20.0,1994.0,120.0,100.0,A
598.0,SIGMA,20.0,20.0,20.0,19.0,19.0,18.0,1969.3333333333333,116.0,96.66666666666669,A
599.0,SIGMA,20.0,20.0,17.0,17.0,19.0,18.0,1938.0,111.0,92.5,A
600.0,SIGMA,14.0,12.0,11.0,9.0,18.0,17.0,1740.0,81.0,67.5,D
601.0,SIGMA,20.0,19.0,20.0,18.0,18.0,19.0,1962.0,114.0,95.0,A
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
0.0,0,20.0,19.0,16.0,15.0,13.0,18.0,673.3333333333334,101.0,84.16666666666667,B
0.0,0,12.0,3.0,10.0,6.0,10.0,19.0,400.0,60.0,50.0,F
0.0,0,20.0,9.0,15.0,17.0,15.0,20.0,640.0,96.0,80.0,B
0.0,0,11.0,18.0,19.0,15.0,19.0,16.0,653.3333333333334,98.0,81.66666666666667,B
0.0,0,20.0,20.0,17.0,16.0,18.0,19.0,733.3333333333333,110.0,91.66666666666666,A
0.0,0,20.0,19.0,18.0,15.0,18.0,20.0,733.3333333333333,110.0,91.66666666666666,A
0.0,0,16.0,20.0,17.0,16.0,18.0,18.0,700.0,105.0,87.5,B
0.0,0,15.0,13.0,15.0,7.0,18.0,17.0,566.6666666666667,85.0,70.83333333333334,C
0.0,0,10.0,10.0,11.0,2.0,10.0,5.0,320.0,48.0,40.0,F
0.0,0,2.0,0.0,0.0,3.0,10.0,9.0,160.0,24.0,20.0,F
0.0,0,18.0,8.0,9.0,8.0,13.0,16.0,480.0,72.0,60.0,D
0.0,0,20.0,20.0,19.0,20.0,20.0,20.0,793.3333333333335,119.0,99.16666666666669,A
0.0,0,20.0,19.0,17.0,18.0,20.0,19.0,753.3333333333335,113.0,94.16666666666669,A
0.0,0,20.0,20.0,17.0,16.0,18.0,18.0,726.6666666666665,109.0,90.83333333333331,A
0.0,0,15.0,18.0,9.0,0.0,15.0,11.0,136.0,0.0,0.0,F
0.0,0,12.0,12.0,15.0,14.0,13.0,11.0,513.3333333333334,77.0,64.16666666666667,D
0.0,0,20.0,20.0,20.0,20.0,20.0,19.0,793.3333333333335,119.0,99.16666666666669,A
0.0,0,14.0,6.0,17.0,14.0,10.0,18.0,526.6666666666666,79.0,65.83333333333333,D
0.0,0,19.0,8.0,19.0,13.0,18.0,20.0,646.6666666666666,97.0,80.83333333333333,B
0.0,0,20.0,20.0,20.0,16.0,18.0,17.0,740.0,111.0,92.5,A
0.0,0,16.0,3.0,11.0,17.0,15.0,16.0,520.0,78.0,65.0,D
0.0,0,18.0,20.0,17.0,18.0,15.0,20.0,720.0,108.0,90.0,A
0.0,0,18.0,15.0,12.0,13.0,18.0,16.0,613.3333333333334,92.0,76.66666666666667,C
0.0,0,19.0,3.0,18.0,15.0,15.0,17.0,580.0,87.0,72.5,C
0.0,0,17.0,20.0,16.0,19.0,18.0,18.0,720.0,108.0,90.0,A
0.0,0,15.0,1.0,11.0,8.0,13.0,17.0,433.33333333333326,65.0,54.16666666666666,F
0.0,ZETA,17.0,3.0,8.0,16.0,15.0,0.0,118.0,0.0,0.0,F
0.0,ZETA,16.0,1.0,6.0,16.0,14.0,12.0,433.33333333333326,65.0,54.16666666666666,F
0.0,ZETA,15.0,20.0,14.0,19.0,20.0,17.0,700.0,105.0,87.5,B
0.0,ZETA,14.0,4.0,9.0,16.0,19.0,15.0,513.3333333333334,77.0,64.16666666666667,D
0.0,ZETA,19.0,14.0,16.0,15.0,20.0,16.0,666.6666666666667,100.0,83.33333333333334,B
0.0,ZETA,20.0,6.0,7.0,9.0,16.0,19.0,513.3333333333334,77.0,64.16666666666667,D
0.0,ZETA,14.0,3.0,9.0,13.0,15.0,9.0,420.0,63.0,52.5,F
0.0,ZETA,9.0,0.0,2.0,2.0,3.0,9.0,166.66666666666669,25.0,20.833333333333336,F
0.0,ZETA,9.0,0.0,5.0,3.0,4.0,5.0,173.33333333333334,26.0,21.666666666666668,F
0.0,ZETA,12.0,0.0,2.0,4.0,4.0,9.0,206.66666666666669,31.0,25.833333333333336,F
0.0,ZETA,11.0,0.0,3.0,4.0,4.0,7.0,193.3333333333333,29.0,24.166666666666668,F
0.0,ZETA,16.0,10.0,10.0,13.0,15.0,17.0,540.0,81.0,67.5,D
0.0,ZETA,17.0,15.0,14.0,20.0,19.0,16.0,673.3333333333334,101.0,84.16666666666667,B
0.0,ZETA,19.0,19.0,12.0,17.0,20.0,16.0,686.6666666666666,103.0,85.83333333333333,B
0.0,ZETA,16.0,15.0,8.0,19.0,18.0,14.0,600.0,90.0,75.0,C
0.0,ZETA,12.0,3.0,3.0,9.0,6.0,12.0,300.0,45.0,37.5,F
0.0,ZETA,12.0,1.0,5.0,8.0,1.0,8.0,233.3333333333333,35.0,29.166666666666668,F
0.0,ZETA,17.0,0.0,7.0,12.0,7.0,10.0,353.33333333333326,53.0,44.16666666666666,F
0.0,ZETA,16.0,1.0,2.0,9.0,12.0,15.0,366.6666666666666,55.0,45.83333333333333,F
0.0,ZETA,18.0,16.0,12.0,20.0,20.0,17.0,686.6666666666666,103.0,85.83333333333333,B
0.0,ZETA,20.0,20.0,11.0,20.0,20.0,19.0,733.3333333333333,110.0,91.66666666666666,A
0.0,ZETA,11.0,0.0,7.0,9.0,12.0,8.0,313.33333333333326,47.0,39.16666666666666,F
0.0,ZETA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
0.0,ZETA,14.0,0.0,11.0,8.0,8.0,11.0,346.6666666666667,52.0,43.333333333333336,F
0.0,ZETA,17.0,16.0,13.0,20.0,19.0,17.0,680.0,102.0,85.0,B
0.0,ZETA,20.0,20.0,16.0,20.0,20.0,18.0,760.0,114.0,95.0,A
0.0,ZETA,18.0,3.0,7.0,18.0,20.0,18.0,560.0,84.0,70.0,C
0.0,ZETA,19.0,3.0,5.0,10.0,19.0,13.0,460.0,69.0,57.49999999999999,F
0.0,ZETA,18.0,7.0,7.0,16.0,6.0,13.0,446.6666666666666,67.0,55.833333333333336,F
0.0,ZETA,17.0,4.0,11.0,16.0,20.0,18.0,573.3333333333334,86.0,71.66666666666667,C
0.0,ZETA,14.0,2.0,5.0,11.0,10.0,11.0,353.33333333333326,53.0,44.16666666666666,F
0.0,ZETA,19.0,6.0,15.0,17.0,20.0,18.0,633.3333333333333,95.0,79.16666666666666,C
0.0,ZETA,13.0,2.0,8.0,18.0,20.0,17.0,520.0,78.0,65.0,D
0.0,ZETA,18.0,13.0,11.0,12.0,19.0,14.0,580.0,87.0,72.5,C
0.0,ZETA,16.0,10.0,14.0,20.0,20.0,16.0,640.0,96.0,80.0,B
0.0,ZETA,9.0,3.0,6.0,9.0,15.0,8.0,333.33333333333337,50.0,41.66666666666667,F
0.0,ZETA,15.0,12.0,15.0,14.0,17.0,9.0,546.6666666666666,82.0,68.33333333333333,D
0.0,ZETA,11.0,5.0,5.0,12.0,9.0,14.0,373.33333333333326,56.0,46.66666666666666,F
0.0,ZETA,18.0,16.0,12.0,20.0,20.0,19.0,700.0,105.0,87.5,B
0.0,ZETA,15.0,1.0,11.0,16.0,13.0,15.0,473.33333333333326,71.0,59.16666666666666,F
0.0,ZETA,17.0,19.0,17.0,18.0,20.0,18.0,726.6666666666665,109.0,90.83333333333331,A
0.0,ZETA,16.0,6.0,0.0,0.0,8.0,9.0,78.0,0.0,0.0,F
0.0,ZETA,15.0,8.0,16.0,19.0,20.0,16.0,626.6666666666666,94.0,78.33333333333333,C
0.0,ZETA,16.0,6.0,11.0,13.0,14.0,13.0,486.6666666666666,73.0,60.83333333333333,D
0.0,ZETA,11.0,6.0,10.0,17.0,12.0,10.0,440.0,66.0,55.00000000000001,F
0.0,ZETA,2.0,0.0,0.0,0.0,2.0,1.0,10.0,0.0,0.0,F
0.0,ZETA,14.0,20.0,7.0,19.0,11.0,12.0,553.3333333333334,83.0,69.16666666666667,D
0.0,ZETA,16.0,2.0,9.0,17.0,17.0,14.0,500.0,75.0,62.5,D
0.0,ZETA,19.0,20.0,11.0,19.0,20.0,17.0,706.6666666666666,106.0,88.33333333333333,B
0.0,ZETA,18.0,8.0,10.0,19.0,20.0,17.0,613.3333333333334,92.0,76.66666666666667,C
0.0,ZETA,9.0,5.0,9.0,13.0,14.0,12.0,413.33333333333337,62.0,51.66666666666667,F
0.0,ZETA,11.0,0.0,8.0,4.0,1.0,11.0,233.3333333333333,35.0,29.166666666666668,F
0.0,ZETA,11.0,13.0,8.0,9.0,15.0,9.0,433.33333333333326,65.0,54.16666666666666,F
0.0,ZETA,17.0,1.0,10.0,16.0,11.0,9.0,426.6666666666667,64.0,53.333333333333336,F
0.0,ZETA,19.0,3.0,8.0,17.0,20.0,15.0,546.6666666666666,82.0,68.33333333333333,D
0.0,ZETA,17.0,5.0,7.0,18.0,12.0,15.0,493.33333333333337,74.0,61.66666666666667,D
0.0,ZETA,15.0,8.0,7.0,15.0,19.0,17.0,540.0,81.0,67.5,D
0.0,ZETA,5.0,1.0,4.0,15.0,1.0,6.0,213.3333333333333,32.0,26.666666666666668,F
0.0,ZETA,13.0,9.0,9.0,15.0,14.0,16.0,506.6666666666666,76.0,63.33333333333333,D
0.0,ZETA,17.0,11.0,16.0,16.0,16.0,12.0,586.6666666666666,88.0,73.33333333333333,C
0.0,ZETA,16.0,1.0,8.0,20.0,13.0,13.0,473.33333333333326,71.0,59.16666666666666,F
0.0,ZETA,6.0,3.0,4.0,9.0,10.0,15.0,313.33333333333326,47.0,39.16666666666666,F
0.0,ZETA,18.0,6.0,7.0,15.0,19.0,18.0,553.3333333333334,83.0,69.16666666666667,D
0.0,ZETA,15.0,3.0,9.0,16.0,16.0,18.0,513.3333333333334,77.0,64.16666666666667,D
0.0,ZETA,20.0,15.0,17.0,18.0,20.0,17.0,713.3333333333334,107.0,89.16666666666667,B
0.0,ZETA,20.0,1.0,8.0,20.0,18.0,18.0,566.6666666666667,85.0,70.83333333333334,C
0.0,ZETA,20.0,19.0,14.0,20.0,20.0,19.0,746.6666666666665,112.0,93.33333333333331,A
0.0,ZETA,15.0,8.0,15.0,17.0,20.0,19.0,626.6666666666666,94.0,78.33333333333333,C
0.0,ZETA,16.0,7.0,14.0,17.0,19.0,18.0,606.6666666666666,91.0,75.83333333333333,C
0.0,ZETA,18.0,15.0,15.0,20.0,20.0,19.0,713.3333333333334,107.0,89.16666666666667,B
0.0,ZETA,18.0,17.0,15.0,16.0,20.0,16.0,680.0,102.0,85.0,B
0.0,ZETA,16.0,11.0,8.0,18.0,19.0,16.0,586.6666666666666,88.0,73.33333333333333,C
0.0,ZETA,17.0,7.0,7.0,12.0,13.0,9.0,433.33333333333326,65.0,54.16666666666666,F
0.0,ZETA,15.0,4.0,3.0,13.0,14.0,13.0,413.33333333333337,62.0,51.66666666666667,F
0.0,ZETA,15.0,8.0,6.0,18.0,17.0,15.0,526.6666666666666,79.0,65.83333333333333,D
0.0,ZETA,16.0,6.0,15.0,17.0,20.0,16.0,600.0,90.0,75.0,C
0.0,ZETA,18.0,7.0,14.0,19.0,16.0,18.0,613.3333333333334,92.0,76.66666666666667,C
0.0,ZETA,16.0,0.0,11.0,16.0,20.0,0.0,126.0,0.0,0.0,F
0.0,ZETA,16.0,8.0,8.0,18.0,19.0,17.0,573.3333333333334,86.0,71.66666666666667,C
0.0,ZETA,16.0,8.0,11.0,19.0,15.0,17.0,573.3333333333334,86.0,71.66666666666667,C
0.0,ZETA,18.0,1.0,10.0,19.0,16.0,16.0,533.3333333333333,80.0,66.66666666666666,D
0.0,ZETA,19.0,17.0,12.0,17.0,20.0,16.0,673.3333333333334,101.0,84.16666666666667,B
0.0,ZETA,18.0,1.0,6.0,12.0,11.0,9.0,380.0,57.0,47.5,F
0.0,ZETA,18.0,9.0,12.0,20.0,16.0,16.0,606.6666666666666,91.0,75.83333333333333,C
0.0,ZETA,15.0,10.0,7.0,18.0,18.0,16.0,560.0,84.0,70.0,C
0.0,ZETA,19.0,8.0,8.0,19.0,17.0,18.0,593.3333333333334,89.0,74.16666666666667,C
0.0,ZETA,12.0,1.0,7.0,10.0,20.0,8.0,386.6666666666667,58.0,48.333333333333336,F
0.0,ZETA,17.0,6.0,14.0,14.0,17.0,18.0,573.3333333333334,86.0,71.66666666666667,C
0.0,ZETA,12.0,1.0,6.0,7.0,15.0,12.0,353.33333333333326,53.0,44.16666666666666,F
0.0,ZETA,19.0,14.0,17.0,16.0,20.0,19.0,700.0,105.0,87.5,B
